beta
0.484646214
0.472243991
0.519636983
0.431394385
0.486810181
0.513946469
0.496014928
0.484646214
0.359624709
0.510070277
0.510952956
0.479635186
0.482321658
0.509774864
0.502270984
0.54080023
0.423452789
0.478636025
0.474350855
0.437144415
0.461738742
0.531833426
0.428676434
0.570965248
0.484646214
0.542281971
0.484646214
0.484646214
0.459120801
0.458676283
0.484646214
0.452698876
0.484646214
0.487714852
0.565323803
0.466627897
