iso_o,iso_d,tariff
CHE,CAN,0.050000001
CHE,CHE,0
CHE,CHL,0.059999999
CHE,CHN,0.050000001
CHE,DEU,0.01
CHE,DNK,0
CHE,ESP,0
CHE,FIN,0
CHE,FRA,0.01
CHE,GBR,0
CHE,GRC,0
CHE,HUN,0
CHE,IDN,0.059999999
CHE,IND,0.150000006
CHE,IRL,0
CHE,ITA,0
CHE,JPN,0.01
CHE,KOR,0.07
CHE,MEX,0.119999997
CHE,MYS,0.090000004
CHE,NOR,0.01
CHE,NZL,0.02
CHE,PHL,0.02
CHE,POL,0
CHE,PRT,0.01
CHE,SGP,0
CHE,SWE,0
CHE,THA,0.07
CHE,TUR,0
CHE,TWN,0.039999999
CHE,USA,0.02
CHL,ARG,0.090000004
CHL,AUS,0.02
CHL,AUT,0.02
CHL,BEL,0.01
CHL,BRA,0.07
CHL,CAN,0
CHL,CHE,0.029999999
CHL,CHL,0
CHL,CHN,0.02
CHL,DEU,0.02
CHL,DNK,0.07
CHL,ESP,0.029999999
CHL,FIN,0.039999999
CHL,FRA,0.01
CHL,GBR,0.039999999
CHL,GRC,0
CHL,HUN,0.039999999
CHL,IDN,0.029999999
CHL,IND,0.189999998
CHL,IRL,0.059999999
CHL,ITA,0
CHL,JPN,0.090000004
CHL,KOR,0.050000001
CHL,MEX,0
CHL,MYS,0.050000001
CHL,NOR,0
CHL,NZL,0.039999999
CHL,PHL,0.050000001
CHL,POL,0.039999999
CHL,PRT,0.01
CHL,SGP,0
CHL,SWE,0.07
CHL,THA,0.230000004
CHL,TUR,0
CHL,TWN,0.01
CHL,USA,0
CHN,ARG,0.129999995
CHN,AUS,0.07
CHN,AUT,0.029999999
CHN,BEL,0.029999999
CHN,BRA,0.119999997
CHN,CAN,0.050000001
CHN,CHE,0
CHN,CHL,0.059999999
CHN,CHN,0.039999999
CHN,DEU,0.029999999
CHN,DNK,0.039999999
CHN,ESP,0.050000001
CHN,FIN,0.029999999
CHN,FRA,0.039999999
CHN,GBR,0.039999999
CHN,GRC,0.039999999
CHN,HUN,0.029999999
CHN,IDN,0.059999999
CHN,IND,0.129999995
CHN,IRL,0.02
CHN,ITA,0.039999999
CHN,JPN,0.039999999
CHN,KOR,0.059999999
CHN,MEX,0.109999999
CHN,MYS,0.079999998
CHN,NOR,0.02
CHN,NZL,0.059999999
CHN,PHL,0.050000001
CHN,POL,0.050000001
CHN,PRT,0.039999999
CHN,SGP,0
CHN,SWE,0.039999999
CHN,THA,0.109999999
CHN,TUR,0.039999999
CHN,TWN,0.029999999
CHN,USA,0.029999999
DEU,ARG,0.109999999
DEU,AUS,0.050000001
DEU,AUT,0
DEU,BEL,0
DEU,BRA,0.119999997
DEU,CAN,0.029999999
DEU,CHE,0.01
DEU,CHL,0
DEU,CHN,0.090000004
DEU,DEU,0
DEU,DNK,0
DEU,ESP,0
DEU,FIN,0
DEU,FRA,0
DEU,GBR,0
DEU,GRC,0
DEU,HUN,0
DEU,IDN,0.059999999
DEU,IND,0.159999996
DEU,IRL,0
DEU,ITA,0
DEU,JPN,0.01
DEU,KOR,0.079999998
DEU,MEX,0.07
DEU,MYS,0.090000004
DEU,NOR,0.01
DEU,NZL,0.059999999
DEU,PHL,0.029999999
DEU,POL,0
DEU,PRT,0
DEU,SGP,0
DEU,SWE,0
DEU,THA,0.119999997
DEU,TUR,0
DEU,TWN,0.090000004
DEU,USA,0.02
DNK,ARG,0.079999998
DNK,AUS,0.029999999
DNK,AUT,0
DNK,BEL,0
DNK,BRA,0.109999999
DNK,CAN,0.059999999
DNK,CHE,0.029999999
DNK,CHL,0
DNK,CHN,0.079999998
DNK,DEU,0
DNK,DNK,0
DNK,ESP,0
DNK,FIN,0
DNK,FRA,0
DNK,GBR,0
DNK,GRC,0
DNK,HUN,0
DNK,IDN,0.07
DNK,IND,0.150000006
DNK,IRL,0
DNK,ITA,0
DNK,JPN,0.310000002
DNK,KOR,0.119999997
DNK,MEX,0.039999999
DNK,MYS,0.059999999
DNK,NOR,0.029999999
DNK,NZL,0.029999999
DNK,PHL,0.059999999
DNK,POL,0
DNK,PRT,0
DNK,SGP,0
DNK,SWE,0
DNK,THA,0.109999999
DNK,TUR,0.01
DNK,TWN,0.07
DNK,USA,0.02
ESP,ARG,0.109999999
ESP,AUS,0.050000001
ESP,AUT,0
ESP,BEL,0
ESP,BRA,0.090000004
ESP,CAN,0.039999999
ESP,CHE,0.029999999
ESP,CHL,0
ESP,CHN,0.079999998
ESP,DEU,0
ESP,DNK,0
ESP,ESP,0
ESP,FIN,0
ESP,FRA,0
ESP,GBR,0
ESP,GRC,0
ESP,HUN,0
ESP,IDN,0.059999999
ESP,IND,0.150000006
ESP,IRL,0
ESP,ITA,0
ESP,JPN,0.039999999
ESP,KOR,0.079999998
ESP,MEX,0.07
ESP,MYS,0.059999999
ESP,NOR,0.029999999
ESP,NZL,0.050000001
ESP,PHL,0.059999999
ESP,POL,0
ESP,PRT,0
ESP,SGP,0
ESP,SWE,0
ESP,THA,0.170000002
ESP,TUR,0
ESP,TWN,0.07
ESP,USA,0.029999999
FIN,ARG,0.119999997
FIN,AUS,0.039999999
FIN,AUT,0
FIN,BEL,0
FIN,BRA,0.129999995
FIN,CAN,0.02
FIN,CHE,0
FIN,CHL,0
FIN,CHN,0.059999999
FIN,DEU,0
FIN,DNK,0
FIN,ESP,0
FIN,FIN,0
FIN,FRA,0
FIN,GBR,0
FIN,GRC,0
FIN,HUN,0
FIN,IDN,0.029999999
FIN,IND,0.129999995
FIN,IRL,0
FIN,ITA,0
FIN,JPN,0.02
FIN,KOR,0.039999999
FIN,MEX,0.029999999
FIN,MYS,0.050000001
FIN,NOR,0
FIN,NZL,0.02
FIN,PHL,0.039999999
FIN,POL,0
FIN,PRT,0
FIN,SGP,0
FIN,SWE,0
FIN,THA,0.129999995
FIN,TUR,0
FIN,TWN,0.029999999
FIN,USA,0.01
FRA,ARG,0.090000004
FRA,AUS,0.029999999
FRA,AUT,0
FRA,BEL,0
FRA,BRA,0.109999999
FRA,CAN,0.039999999
FRA,CHE,0.029999999
FRA,CHL,0
FRA,CHN,0.059999999
FRA,DEU,0
FRA,DNK,0
FRA,ESP,0
FRA,FIN,0
FRA,FRA,0
FRA,GBR,0
FRA,GRC,0
FRA,HUN,0
FRA,IDN,0.059999999
FRA,IND,0.119999997
FRA,IRL,0
FRA,ITA,0
FRA,JPN,0.07
FRA,KOR,0.079999998
FRA,MEX,0.050000001
FRA,MYS,0.129999995
FRA,NOR,0.02
FRA,NZL,0.029999999
FRA,PHL,0.039999999
FRA,POL,0
FRA,PRT,0
FRA,SGP,0
FRA,SWE,0
