iso_o,iso_d,tariff
SWE,POL,0
SWE,PRT,0
SWE,SGP,0
SWE,SWE,0
SWE,THA,0.150000006
SWE,TUR,0
SWE,TWN,0.07
SWE,USA,0.01
THA,ARG,0.119999997
THA,AUS,0.039999999
THA,AUT,0.039999999
THA,BEL,0.059999999
THA,BRA,0.119999997
THA,CAN,0.039999999
THA,CHE,0.02
THA,CHL,0.059999999
THA,CHN,0.059999999
THA,DEU,0.050000001
THA,DNK,0.059999999
THA,ESP,0.050000001
THA,FIN,0.039999999
THA,FRA,0.07
THA,GBR,0.059999999
THA,GRC,0.050000001
THA,HUN,0.029999999
THA,IDN,0.07
THA,IND,0.150000006
THA,IRL,0.02
THA,ITA,0.050000001
THA,JPN,0.059999999
THA,KOR,0.140000001
THA,MEX,0.079999998
THA,MYS,0.02
THA,NOR,0.050000001
THA,NZL,0.029999999
THA,PHL,0.039999999
THA,POL,0.079999998
THA,PRT,0.059999999
THA,SGP,0
THA,SWE,0.07
THA,THA,0
THA,TUR,0.050000001
THA,TWN,0.119999997
THA,USA,0.029999999
TUR,ARG,0.140000001
TUR,AUS,0.059999999
TUR,AUT,0
TUR,BEL,0
TUR,BRA,0.140000001
TUR,CAN,0.050000001
TUR,CHE,0.07
TUR,CHL,0.059999999
TUR,CHN,0.07
TUR,DEU,0
TUR,DNK,0
TUR,ESP,0
TUR,FIN,0
TUR,FRA,0
TUR,GBR,0
TUR,GRC,0
TUR,HUN,0
TUR,IDN,0.079999998
TUR,IND,0.159999996
TUR,IRL,0
TUR,ITA,0.01
TUR,JPN,0.059999999
TUR,KOR,0.090000004
TUR,MEX,0.189999998
TUR,MYS,0.119999997
TUR,NOR,0.01
TUR,NZL,0.039999999
TUR,PHL,0.07
TUR,POL,0
TUR,PRT,0
TUR,SGP,0
TUR,SWE,0
TUR,THA,0.100000001
TUR,TUR,0
TUR,TWN,0.02
TUR,USA,0.050000001
TWN,ARG,0.119999997
TWN,AUS,0.029999999
TWN,AUT,0.02
TWN,BEL,0.029999999
TWN,BRA,0.119999997
TWN,CAN,0.039999999
TWN,CHE,0
TWN,CHL,0.059999999
TWN,CHN,0.059999999
TWN,DEU,0.02
TWN,DNK,0.02
TWN,ESP,0.029999999
TWN,FIN,0.02
TWN,FRA,0.02
TWN,GBR,0.02
TWN,GRC,0.029999999
TWN,HUN,0.01
TWN,IDN,0.050000001
TWN,IND,0.109999999
TWN,IRL,0.01
TWN,ITA,0.02
TWN,JPN,0.01
TWN,KOR,0.02
TWN,MEX,0.119999997
TWN,MYS,0.039999999
TWN,NOR,0
TWN,NZL,0.039999999
TWN,PHL,0.029999999
TWN,POL,0.029999999
TWN,PRT,0.02
TWN,SGP,0
TWN,SWE,0.029999999
TWN,THA,0.119999997
TWN,TUR,0.02
TWN,TWN,0
TWN,USA,0.02
USA,ARG,0.079999998
USA,AUS,0.029999999
USA,AUT,0.02
USA,BEL,0.02
USA,BRA,0.090000004
USA,CAN,0.01
USA,CHE,0.01
USA,CHL,0.01
USA,CHN,0.059999999
USA,DEU,0.02
USA,DNK,0.02
USA,ESP,0.02
USA,FIN,0.029999999
USA,FRA,0.02
USA,GBR,0.02
USA,GRC,0.02
USA,HUN,0.02
USA,IDN,0.050000001
USA,IND,0.129999995
USA,IRL,0.01
USA,ITA,0.02
USA,JPN,0.050000001
USA,KOR,0.050000001
USA,MEX,0
USA,MYS,0.029999999
USA,NOR,0.01
USA,NZL,0.029999999
USA,PHL,0.029999999
USA,POL,0.029999999
USA,PRT,0.039999999
USA,SGP,0
USA,SWE,0.02
USA,THA,0.079999998
USA,TUR,0.050000001
USA,TWN,0.029999999
USA,USA,0
