iso_o,iso_d,xtr2001
CAN,SGP,382.109529
CAN,SWE,248.830609
CAN,THA,272.763686
CAN,TUR,102.344761
CAN,TWN,748.2201538
CAN,USA,167089.0264
CHE,ARG,201.437014
CHE,AUS,666.100959
CHE,AUT,2634.453031
CHE,BEL,1568.914754
CHE,BRA,926.457281
CHE,CAN,880.178394
CHE,CHE,61327.21094
CHE,CHL,108.969129
CHE,CHN,1489.708232
CHE,DEU,17609.34127
CHE,DNK,647.426782
CHE,ESP,2570.355997
CHE,FIN,469.358259
CHE,FRA,7281.394551
CHE,GBR,3901.959263
CHE,GRC,538.579195
CHE,HUN,440.174956
CHE,IDN,172.672456
CHE,IND,3351.172834
CHE,IRL,385.78599
CHE,ITA,7642.127124
CHE,JPN,3226.745718
CHE,KOR,838.192198
CHE,MEX,771.11727
CHE,MYS,957.782402
CHE,NOR,421.726179
CHE,NZL,96.110168
CHE,PHL,150.986844
CHE,POL,717.189661
CHE,PRT,558.715962
CHE,SGP,1943.387034
CHE,SWE,947.831662
CHE,THA,832.541371
CHE,TUR,1221.963225
CHE,TWN,1108.881836
CHE,USA,8958.703389
CHL,ARG,496.806104
CHL,AUS,33.858648
CHL,AUT,26.075464
CHL,BEL,229.957289
CHL,BRA,602.637106
CHL,CAN,139.461918
CHL,CHE,163.337574
CHL,CHL,21895.98047
CHL,CHN,945.753721
CHL,DEU,352.804441
CHL,DNK,44.074438
CHL,ESP,222.227851
CHL,FIN,13.870957
CHL,FRA,683.726966
CHL,GBR,1158.194381
CHL,GRC,40.728029
CHL,HUN,0.656128
CHL,IDN,45.00353
CHL,IND,12.58228
CHL,IRL,26.73209
CHL,ITA,810.673485
CHL,JPN,774.613942
CHL,KOR,479.551076
CHL,MEX,797.042527
CHL,MYS,22.440171
CHL,NOR,48.095877
CHL,NZL,8.505263
CHL,PHL,6.850636
CHL,POL,3.294355
CHL,PRT,20.911411
CHL,SGP,25.806969
CHL,SWE,32.914421
CHL,THA,44.491339
CHL,TUR,75.454711
CHL,TWN,484.9324341
CHL,USA,2158.309649
CHN,ARG,1064.003574
CHN,AUS,5171.029038
CHN,AUT,1174.359275
CHN,BEL,3744.97672
CHN,BRA,1203.56548
CHN,CAN,8001.817858
CHN,CHE,1302.53769
CHN,CHL,1000.5984
CHN,CHN,1555681.125
CHN,DEU,17079.86511
CHN,DNK,1280.970528
CHN,ESP,4317.212705
CHN,FIN,966.990241
CHN,FRA,9424.981223
CHN,GBR,13703.66697
CHN,GRC,816.816197
CHN,HUN,1310.866086
CHN,IDN,2311.950631
CHN,IND,1537.655379
CHN,IRL,953.219528
CHN,ITA,6446.054815
CHN,JPN,51305.65058
CHN,KOR,10626.295
CHN,MEX,3827.425265
CHN,MYS,3335.675318
CHN,NOR,971.609423
CHN,NZL,892.05487
CHN,PHL,1365.122123
CHN,POL,1486.469913
CHN,PRT,298.905976
CHN,SGP,6518.952387
CHN,SWE,1034.913989
CHN,THA,3562.745459
CHN,TUR,851.040996
CHN,TWN,7425.489746
CHN,USA,106420.4655
DEU,ARG,1038.321551
DEU,AUS,3364.128232
DEU,AUT,26382.35716
DEU,BEL,27533.22913
DEU,BRA,4774.03683
DEU,CAN,5075.797334
DEU,CHE,24224.36186
DEU,CHL,667.302003
DEU,CHN,13647.51134
DEU,DEU,760112.875
DEU,DNK,8876.423976
DEU,ESP,23238.20255
DEU,FIN,5283.263788
DEU,FRA,57546.3475
DEU,GBR,43261.73575
DEU,GRC,4566.086459
DEU,HUN,7582.719008
DEU,IDN,1287.31837
DEU,IND,1952.952257
DEU,IRL,3292.063841
DEU,ITA,39494.52036
DEU,JPN,12061.80255
DEU,KOR,4470.213845
DEU,MEX,6013.878065
DEU,MYS,2656.393418
DEU,NOR,4192.653189
DEU,NZL,650.124354
DEU,PHL,881.039457
DEU,POL,12800.65914
DEU,PRT,5353.467879
DEU,SGP,3758.587747
DEU,SWE,10536.13789
DEU,THA,2479.724449
DEU,TUR,5318.5417
DEU,TWN,3897.47998
DEU,USA,56799.45979
DNK,ARG,68.221141
DNK,AUS,251.210221
DNK,AUT,374.503482
DNK,BEL,672.219465
DNK,BRA,183.454095
DNK,CAN,344.658755
DNK,CHE,618.466977
DNK,CHL,64.375208
DNK,CHN,584.832855
DNK,DEU,7130.092277
DNK,DNK,40678.19531
DNK,ESP,788.512259
DNK,FIN,931.890461
DNK,FRA,1651.138468
DNK,GBR,3014.965692
DNK,GRC,280.011588
DNK,HUN,173.428313
