iso_o,iso_d,xtr2001
PRT,CHE,309.530748
PRT,CHL,54.6191
PRT,CHN,68.046442
PRT,DEU,4533.988338
PRT,DNK,307.112175
PRT,ESP,4286.004319
PRT,FIN,126.661094
PRT,FRA,2981.923822
PRT,GBR,2465.336512
PRT,GRC,93.324483
PRT,HUN,113.83124
PRT,IDN,2.939208
PRT,IND,14.683433
PRT,IRL,137.924353
PRT,ITA,1034.87195
PRT,JPN,128.675355
PRT,KOR,20.680118
PRT,MEX,86.294913
PRT,MYS,18.236001
PRT,NOR,287.006515
PRT,NZL,15.8802
PRT,PHL,13.900933
PRT,POL,158.273516
PRT,PRT,55578.78906
PRT,SGP,82.884531
PRT,SWE,369.950098
PRT,THA,20.190538
PRT,TUR,62.370889
PRT,TWN,30.83194923
PRT,USA,1423.924326
SGP,ARG,91.877734
SGP,AUS,2443.197061
SGP,AUT,128.464387
SGP,BEL,656.441399
SGP,BRA,313.116812
SGP,CAN,738.678432
SGP,CHE,601.369642
SGP,CHL,34.881072
SGP,CHN,4777.301952
SGP,DEU,4112.526617
SGP,DNK,107.523727
SGP,ESP,378.122312
SGP,FIN,346.053496
SGP,FRA,1834.356286
SGP,GBR,2686.006128
SGP,GRC,42.475384
SGP,HUN,531.291847
SGP,IDN,2017.111765
SGP,IND,2448.380466
SGP,IRL,1217.913308
SGP,ITA,380.413118
SGP,JPN,8501.18914
SGP,KOR,4377.986743
SGP,MEX,1113.565912
SGP,MYS,18837.31826
SGP,NOR,204.565783
SGP,NZL,316.315119
SGP,PHL,2836.188853
SGP,POL,193.239941
SGP,PRT,25.985159
SGP,SGP,22434.36133
SGP,SWE,109.309283
SGP,THA,4989.245747
SGP,TUR,108.273017
SGP,TWN,2876.069824
SGP,USA,18166.0627
SWE,ARG,172.798266
SWE,AUS,772.385239
SWE,AUT,922.723934
SWE,BEL,3985.570522
SWE,BRA,806.190111
SWE,CAN,1081.235429
SWE,CHE,957.046033
SWE,CHL,179.395291
SWE,CHN,2160.57257
SWE,DEU,7024.122643
SWE,DNK,4647.483063
SWE,ESP,1855.177819
SWE,FIN,3534.965745
SWE,FRA,3784.679248
SWE,GBR,5752.01131
SWE,GRC,401.486257
SWE,HUN,317.032282
SWE,IDN,298.880927
SWE,IND,348.000687
SWE,IRL,427.258682
SWE,ITA,3026.804236
SWE,JPN,2146.06089
SWE,KOR,485.311866
SWE,MEX,800.420841
SWE,MYS,526.866458
SWE,NOR,5830.871562
SWE,NZL,146.728964
SWE,PHL,122.732292
SWE,POL,1187.47321
SWE,PRT,405.276591
SWE,SGP,503.843046
SWE,SWE,81997.95313
SWE,THA,338.999958
SWE,TUR,521.367263
SWE,TWN,472.8626099
SWE,USA,8509.002017
THA,ARG,126.398143
THA,AUS,1184.829259
THA,AUT,182.106787
THA,BEL,1386.463397
THA,BRA,186.854496
THA,CAN,917.665807
THA,CHE,327.77041
THA,CHL,87.705715
THA,CHN,3635.771157
THA,DEU,1978.413795
THA,DNK,156.997905
THA,ESP,682.617243
THA,FIN,115.837929
THA,FRA,1453.29808
THA,GBR,2219.550007
THA,GRC,159.954263
THA,HUN,266.940659
THA,IDN,1091.990927
THA,IND,441.196149
THA,IRL,297.570366
THA,ITA,658.266168
THA,JPN,8113.897202
THA,KOR,1244.676189
THA,MEX,598.505553
THA,MYS,2330.280002
THA,NOR,98.275138
THA,NZL,194.804857
THA,PHL,1066.283963
THA,POL,169.548866
THA,PRT,105.506202
THA,SGP,4010.662471
THA,SWE,226.489043
THA,THA,65879.24219
THA,TUR,129.951627
THA,TWN,1477.823242
THA,USA,13961.64832
TUR,ARG,24.898827
TUR,AUS,61.386737
TUR,AUT,391.752235
TUR,BEL,823.728115
TUR,BRA,76.734668
TUR,CAN,171.80392
TUR,CHE,209.21161
TUR,CHL,21.680495
TUR,CHN,175.315656
TUR,DEU,5341.79313
TUR,DNK,256.60251
TUR,ESP,901.09555
TUR,FIN,82.209973
TUR,FRA,2096.325495
TUR,GBR,2404.507895
TUR,GRC,421.336232
TUR,HUN,209.17346
TUR,IDN,32.190569
TUR,IND,56.062751
TUR,IRL,146.718442
TUR,ITA,2243.974752
TUR,JPN,114.820968
TUR,KOR,53.466419
TUR,MEX,80.844831
TUR,MYS,40.040681
TUR,NOR,99.282678
TUR,NZL,11.109224
TUR,PHL,15.217622
TUR,POL,361.895687
TUR,PRT,274.801452
TUR,SGP,96.066187
TUR,SWE,200.78242
TUR,THA,44.046781
TUR,TUR,115150.6172
TUR,TWN,110.6986237
TUR,USA,3250.688838
TWN,ARG,230.2657928
TWN,AUS,1704.141724
TWN,AUT,614.6036377
TWN,BEL,1712.323853
TWN,BRA,683.0994263
TWN,CAN,1906.96167
TWN,CHE,463.0369568
TWN,CHL,229.6565552
TWN,CHN,37356.64063
TWN,DEU,6663.946777
TWN,DNK,567.0142822
TWN,ESP,966.9829102
TWN,FIN,443.6343689
TWN,FRA,2043.217529
TWN,GBR,4417.92334
TWN,GRC,177.74617
TWN,HUN,490.2073669
TWN,IDN,1276.181274
TWN,IND,705.9918213
TWN,IRL,859.7871094
TWN,ITA,1825.804688
TWN,JPN,13635.05176
TWN,KOR,5666.626465
TWN,MEX,1924.809937
TWN,MYS,4171.36084
TWN,NOR,282.4356384
TWN,NZL,341.9776611
TWN,PHL,3701.539551
TWN,POL,342.5895386
TWN,PRT,167.8090973
TWN,SGP,6783.946289
TWN,SWE,454.4889221
TWN,THA,3503.030029
TWN,TUR,560.2269287
TWN,TWN,154491.5469
TWN,USA,32118.44727
USA,ARG,3691.264541
USA,AUS,10030.5788
USA,AUT,3726.010964
USA,BEL,12400.9785
USA,BRA,15034.1817
USA,CAN,147263.3713
USA,CHE,9442.566658
USA,CHL,2880.697452
USA,CHN,23788.65726
USA,DEU,38569.39293
USA,DNK,1589.056265
USA,ESP,5798.972129
USA,FIN,2026.109541
USA,FRA,25453.81454
USA,GBR,41594.18531
USA,GRC,1036.772061
USA,HUN,1378.309413
USA,IDN,2678.582708
USA,IND,3451.77683
USA,IRL,7524.917768
USA,ITA,10423.5645
USA,JPN,51133.3519
USA,KOR,21605.33647
USA,MEX,103844.3074
USA,MYS,11425.34898
USA,NOR,2186.737649
USA,NZL,2041.423253
USA,PHL,7029.279145
USA,POL,1593.747461
USA,PRT,1256.390532
USA,SGP,18189.8371
USA,SWE,3183.511231
USA,THA,6710.870007
USA,TUR,2813.718743
USA,TWN,18974.15234
USA,USA,4403665.5
